,skill_id,preq
603,57953,255307
604,207534,255957
605,57708,265852
606,208640,270413
607,208699,275743
608,196292,271820
609,127594,264094
610,153664,270057
611,153665,275739
612,153661,4718
613,153660,4630
614,213532,4879
615,217528,4774
616,287597,4924
617,280648,4925
618,281190,4176
619,240085,4946
620,227490,4759
621,266394,4953
622,235627,4964
623,290690,4580
624,284649,4943
625,294249,4663
626,282565,4998
627,297747,5005
628,282568,4151
629,159235,5018
630,56366,162140
631,287747,169726
632,263705,170789
633,290709,174592
634,262887,175434
635,264099,176669
636,300902,59260
637,290694,186644
638,255982,186798
639,297860,72205
640,59112,255575
641,149663,196833
642,233781,153650
643,233792,57953
644,142950,57708
645,304866,208640
646,307780,208699
647,307790,196292
648,251848,127594
649,307785,153664
650,246391,153665
651,235641,153661
652,215917,153660
653,157259,217528
654,88257,287597
655,88257,280648
656,230739,271817
657,217953,281190
658,278041,240085
659,297745,227490
660,3420,266394
661,5918,235627
662,5944,290690
663,4754,284649
664,5963,282565
665,6007,297747
666,6023,282568
667,6048,56366
668,6068,287747
669,6029,263705
670,6073,290709
671,6027,262887
672,6084,300902
673,6223,290694
674,16834,255982
675,15865,297860
676,14197,149663
677,16966,233792
678,16979,304866
679,16975,307780
680,17224,307790
681,5961,251848
682,16968,307785
683,27357,246391
684,30279,235641
685,30297,215917
686,16946,157259
687,30316,88257
688,122774,88257
689,122930,230739
690,123192,217953
691,123641,297745
692,124068,309959
693,125624,3420
694,125178,5918
695,106175,5944
696,69170,4754
697,117905,5954
698,105579,5963
699,125779,6007
700,231457,6023
701,144424,6048
702,231459,6068
703,210339,6029
704,232071,6073
705,82985,6020
706,82966,6027
707,82987,6084
708,82994,6223
709,83003,16834
710,83256,16966
711,85265,16979
712,83019,16975
713,83031,17224
714,83043,5961
715,83048,16968
716,83082,15865
717,83088,27357
718,83035,29961
719,83086,30279
720,83029,30297
721,252263,16946
722,74760,30316
723,252277,117908
724,83075,122774
725,83073,122930
726,83068,123192
727,83067,77077
728,83066,780
729,83063,33036
730,252276,125624
731,83061,125178
732,240810,106175
733,83254,69170
734,83057,117905
735,252262,105579
736,83037,125779
737,252273,103300
738,83080,144424
739,255422,231459
740,255438,210339
741,256548,232071
742,253363,74770
743,256846,82985
744,240447,82979
745,82961,82966
746,283259,82994
747,318771,82987
748,288784,38453
749,325451,38458
750,303305,83003
751,313075,85265
752,303302,83256
753,270243,83004
754,311113,83019
755,260486,83022
756,263655,83031
757,261417,83032
758,153651,83033
759,49097,83043
760,164482,83048
761,263703,83052
762,263697,83053
763,264844,83055
764,211880,83081
765,153647,83082
766,271471,83186
767,270062,83088
768,301409,83035
769,290659,83086
770,287801,83029
771,276480,252263
772,290649,74760
773,287732,252277
774,275756,83075
775,287856,83073
776,161975,83068
777,258012,83067
778,290648,83066
779,304887,83063
780,278633,252276
781,307793,252299
782,276345,83080
783,307755,255422
784,307758,255438
785,307760,256548
786,290313,253363
787,307769,256846
788,283054,240447
789,307757,82961
790,307762,82895
791,30284,276368
792,30319,318771
793,30943,288784
794,31339,303305
795,31353,313075
796,31359,270243
797,4228,303302
798,31443,311113
799,31510,260486
800,31581,263655
801,31598,153651
802,12956,49097
803,31733,261417
804,31740,164482
805,31757,263703
806,31964,263697
807,82979,264844
808,83033,211880
809,252267,153647
810,83032,253772
811,252270,271471
812,83022,270062
813,83081,301409
814,38458,290659
815,252278,287801
816,252266,276480
817,38453,287732
818,83004,275756
819,252274,287856
820,252279,161975
821,252265,258012
822,252271,290648
823,83055,290730
824,83186,270406
825,83053,304887
826,83052,278633
827,83089,307793
828,82972,276345
829,82970,307755
830,83079,307758
831,83076,307760
832,105375,290313
833,82997,307769
834,105373,283054
835,83249,307757
836,83243,307762
837,83051,30284
838,309959,30319
839,297092,30943
840,300114,31339
841,265847,31353
842,323197,31359
843,286192,4228
844,323217,31443
845,290704,31510
846,282600,31581
847,302443,31598
848,323211,12956
849,263662,31733
850,145556,31740
851,31505,31757
852,123083,31964
853,146157,31965
854,145753,83061
855,141151,240810
856,144117,83254
857,147022,83057
858,147430,252262
859,111857,83037
860,275739,252273
861,261389,297092
862,250046,300114
863,264092,295187
864,285142,323197
865,264094,286192
866,285817,323217
867,273454,290704
868,163577,290649
869,287225,282600
870,255948,302443
871,262891,323211
872,269254,263662
873,289527,296317
874,265830,290713
875,270041,145556
876,273709,31505
877,251363,123083
878,5018,146157
879,4731,145753
880,4992,141151
881,4943,144117
882,4580,147022
883,5088,147430
884,4000,111857
885,4001,250046
886,3999,264092
887,4605,285142
888,5071,285817
889,3980,273454
890,3993,163577
891,103300,287225
892,127051,255948
893,128237,262891
894,84577,269254
895,128852,289527
896,35806,270041
897,128764,273709
898,138357,251363
899,138071,4731
900,124406,4992
901,109649,5088
902,85933,4000
903,140450,4001
904,275226,3999
905,297105,4605
906,318776,5071
907,280622,3980
908,313994,3997
909,270411,127868
910,275915,128237
911,290769,84577
912,277723,128852
913,285642,71583
914,292528,35806
915,299640,128764
916,302723,138357
917,235638,138071
918,274728,124406
919,292522,109649
920,328149,85933
921,312106,140450
922,325363,275226
923,328540,290717
924,295448,280622
925,318035,292526
926,313420,313994
927,290662,275915
928,288449,270411
929,325449,290769
930,322864,277723
931,310632,285642
932,275622,292528
933,290713,299640
934,290677,302723
935,288689,235638
936,309950,274728
937,288785,292522
938,323326,328149
939,290637,312106
940,299638,325363
941,288670,295448
942,275223,328540
943,321007,318035
944,289383,313420
945,318781,288449
946,318774,325449
947,318747,322864
948,301427,265613
949,250039,310632
950,277589,323230
951,306431,265847
952,287743,250039
953,295386,290677
954,6032,288689
955,6120,288785
956,6129,309950
957,6169,290637
958,6172,275223
959,6191,288670
960,6205,321007
961,2559,297105
962,6228,290712
963,6244,318781
964,6250,318774
965,6313,318747
966,6322,301427
967,6295,277716
968,6380,277589
969,6460,306431
970,6210,287743
971,290944,295386
972,247550,300574
973,246444,6032
974,287559,6083
975,289724,6120
976,290938,6129
977,294747,6169
978,265817,6172
979,267427,6187
980,286024,6191
981,289529,6205
982,250043,2559
983,237029,6228
984,328546,6244
985,318018,6250
986,329541,6313
987,327826,6322
988,283228,6295
989,283237,6370
990,283231,6380
991,283235,6210
992,283333,6231
993,283240,290944
994,283229,246444
995,323230,247550
996,283249,287559
997,283319,289724
998,265809,290938
999,265831,294747
1000,159442,265817
1001,285521,267427
1002,274652,286024
1003,273720,289529
1004,266061,250043
1005,235667,237029
1006,280646,328546
1007,258012,318018
1008,247549,329541
1009,280670,327826
1010,280757,283232
1011,251862,283234
1012,235604,283237
1013,307784,283228
1014,282616,283231
1015,307768,283235
1016,307764,283333
1017,307775,283240
1018,295139,283229
1019,268545,283225
1020,270406,283249
1021,292519,283319
1022,287554,265831
1023,288717,265809
1024,291238,159442
1025,277716,285521
1026,311105,274652
1027,318780,273720
1028,305536,266061
1029,303308,280646
1030,314291,258012
1031,262772,247549
1032,287860,280670
1033,318739,217957
1034,277732,280757
1035,290592,251862
1036,328215,251877
1037,324895,235604
1038,292526,307784
1039,296630,282616
1040,275910,307768
1041,279412,307764
1042,274156,307775
1043,319709,295139
1044,274152,268545
1045,319842,292519
